ward,population
E05000719,14432
E05000720,11307
E05000721,11810
E05000722,11485
E05000723,14266
E05000724,10322
E05000725,10370
E05000726,11087
E05000727,12310
E05000728,15044
E05000729,10042
E05000730,10932
E05000731,9882
E05000732,9954
E05000733,11079
E05000734,12482
E05000735,16619
E05000736,10044
E05000737,13790
E05000738,14830
E05014033,11475
E05014034,10427
E05014035,10458
E05014036,12837
E05014037,11125
E05014038,10759
E05014039,10851
E05014040,11858
E05014041,9373
E05014042,12211
E05014043,10581
E05014044,9735
E05014045,11363
E05014046,11984
E05014047,12309
E05014048,11305
E05014049,12148
E05014050,10338
E05014051,12129
E05014052,10509
E05013018,15754
E05013019,10656
E05013020,12519
E05013021,16958
E05013022,12208
E05013023,13241
E05013024,14523
E05013025,14035
E05013026,16039
E05013027,14491
E05013028,10094
E05013029,13935
E05013030,17152
E05013031,9306
E05013032,12456
E05013033,12897
E05013034,13555
E05013035,11715
E05013036,16357
E05013037,12033
E05000779,12823
E05000780,12885
E05000781,13567
E05000782,14373
E05000783,17862
E05000784,16096
E05000785,13425
E05000786,14239
E05000787,15906
E05000788,14185
E05000789,14022
E05000790,13075
E05000791,14170
E05000792,14097
E05000793,14074
E05000794,12483
E05000795,11771
E05000796,14157
E05000797,15063
E05000798,13564
E05000799,12937
E05000800,11684
E05000801,12686
E05000802,11693
E05000803,12792
E05000804,11134
E05000805,11023
E05000806,11522
E05000807,12430
E05000808,11484
E05000809,12732
E05000810,11179
E05000811,12840
E05000812,15171
E05000813,11804
E05000814,10404
E05000815,11561
E05000816,14538
E05000817,12942
E05000818,11454
E05000819,12931
E05000820,10347
E05000821,9133
E05000822,14287
E05000823,10522
E05000824,10107
E05000825,13373
E05000826,9582
E05000827,10165
E05000828,10791
E05000829,12178
E05000830,10131
E05000831,10437
E05000832,12899
E05000833,11168
E05000834,11812
E05000835,10666
E05000836,11475
E05000837,11321
E05000838,11204
E05000839,10525
E05000840,15915
E05000841,11751
E05000842,12692
E05000843,13105
E05000844,12188
E05000845,15634
E05000846,11433
E05000847,13169
E05000848,12122
E05000849,13237
E05000850,11508
E05000851,13449
E05000852,13057
E05000853,14041
E05000854,16652
E05000855,13799
E05000856,12086
E05000857,14332
E05000858,11664
E05000859,13981
E05000860,14152
E05000861,12035
E05000862,13570
E05000863,11653
E05000864,12108
E05010935,10773
E05010936,10351
E05010937,10404
E05010938,11868
E05010939,11585
E05010940,10586
E05010941,10122
E05010942,9584
E05010943,11430
E05010944,9519
E05010945,9366
E05010946,10716
E05010947,9376
E05010948,9079
E05010949,9759
E05000886,15240
E05000887,14730
E05000888,15613
E05000889,24849
E05000890,13262
E05000891,13568
E05000892,15894
E05000893,13463
E05000894,15154
E05000895,14433
E05000896,17453
E05000897,16374
E05000898,15268
E05000899,16522
E05000900,18657
E05000901,14355
E05000902,12041
E05000903,19613
E05000904,15596
E05000905,18906
E05000906,19004
E05000907,23044
E05000908,12482
E05000909,21403
E05000910,15773
E05000911,15398
E05000912,14262
E05000913,13838
E05000914,13126
E05000915,16772
E05014120,10462
E05014121,10593
E05014122,11994
E05014123,10401
E05014124,10842
E05014125,10836
E05014126,12569
E05014127,12792
E05014128,12808
E05014129,3329
E05014130,7846
E05014131,11426
E05014132,7925
E05014133,7052
E05014134,6597
E05014135,13247
E05014136,11574
E05014137,10955
E05000932,12601
E05000933,12689
E05000934,11367
E05000935,12520
E05000936,12077
E05000937,13172
E05000938,14375
E05000939,12814
E05000940,11543
E05000941,13913
E05000942,13601
E05000943,12075
E05000944,12401
E05000945,12063
E05000946,12449
E05000947,12972
E05000948,14820
E05000949,11819
E05000950,12082
E05000951,11347
E05000952,13208
E05000953,13323
E05000954,15214
E05000955,15696
E05000956,16299
